,gameId,name,image,thumbnail,minPlayers,maxPlayers,isExpansion,yearPublished
14,172818,Above and Below,https://cf.geekdo-images.com/U0wpvRmBe65e4vwGf0Jbpg__original/img/gIlpowYQ7XzumYO0jZyVldxosBA=/0x0/filters:format(jpeg)/pic2398773.jpg,https://cf.geekdo-images.com/U0wpvRmBe65e4vwGf0Jbpg__thumb/img/jHLwKKWiJ-lHoaNIj0TrKAGm7QM=/fit-in/200x150/filters:strip_icc()/pic2398773.jpg,2,4,False,2015
15,155987,Abyss,https://cf.geekdo-images.com/O9nPs9wrCghDF4izqFtoGQ__original/img/rStAIe-Q4IjeOhxlkg1SAinMbcY=/0x0/filters:format(jpeg)/pic1965255.jpg,https://cf.geekdo-images.com/O9nPs9wrCghDF4izqFtoGQ__thumb/img/v2bPSjIYCfD7ekFGQswrRLwkonY=/fit-in/200x150/filters:strip_icc()/pic1965255.jpg,2,4,False,2014
16,183231,Adventure Land,https://cf.geekdo-images.com/lVb-rpf8bq9_5ikHyIxNhg__original/img/WS7SP2vKUSf1kE0vJ-ygv1Stw4I=/0x0/filters:format(jpeg)/pic2958289.jpg,https://cf.geekdo-images.com/lVb-rpf8bq9_5ikHyIxNhg__thumb/img/6anGcT5MoakCP7PmqVFROGJqH9o=/fit-in/200x150/filters:strip_icc()/pic2958289.jpg,2,4,False,2015
17,111105,Agents of SMERSH,https://cf.geekdo-images.com/KSrotdESv2kphKZGbUjT4A__original/img/hM_AkM1ckzkurpdf-pL1u0EORd0=/0x0/filters:format(jpeg)/pic2295348.jpg,https://cf.geekdo-images.com/KSrotdESv2kphKZGbUjT4A__thumb/img/eK4_QRO3VkmnCWvem4cHpH62NXk=/fit-in/200x150/filters:strip_icc()/pic2295348.jpg,1,4,False,2012
18,138559,Agents of SMERSH: Swagman's Hope,https://cf.geekdo-images.com/zMJeUP6GrI3tYDbTKznkmw__original/img/KsOau1r5QDKK1PXGSDk73-BT_jc=/0x0/filters:format(jpeg)/pic1920453.jpg,https://cf.geekdo-images.com/zMJeUP6GrI3tYDbTKznkmw__thumb/img/nIIijlo32x0Mm9hSA5XtvZj5TLY=/fit-in/200x150/filters:strip_icc()/pic1920453.jpg,1,5,True,2014
19,31260,Agricola,https://cf.geekdo-images.com/dDDo2Hexl80ucK1IlqTk-g__original/img/toobKoejPiHpfpHk4SYd1UAJafw=/0x0/filters:format(jpeg)/pic831744.jpg,https://cf.geekdo-images.com/dDDo2Hexl80ucK1IlqTk-g__thumb/img/GHGdnCfeysoP_34gLnofJcNivW8=/fit-in/200x150/filters:strip_icc()/pic831744.jpg,1,5,False,2007
20,119890,Agricola: All Creatures Big and Small,https://cf.geekdo-images.com/iaxdcb_l3F8McwzyoiiCig__original/img/0jQpVjFEcjoIPpVGRf2DhO-jzLo=/0x0/filters:format(jpeg)/pic1514252.jpg,https://cf.geekdo-images.com/iaxdcb_l3F8McwzyoiiCig__thumb/img/UWsWeuOQpGv5asAoyrKgwL3pVj0=/fit-in/200x150/filters:strip_icc()/pic1514252.jpg,2,2,False,2012
21,145355,Agricola: All Creatures Big and Small – Even More Buildings Big and Small,https://cf.geekdo-images.com/zEq0RlwXiwzs4F8p_hTNXA__original/img/8x0JKKuATBJe-yjBrsIp7OfG9ic=/0x0/filters:format(jpeg)/pic1723707.jpg,https://cf.geekdo-images.com/zEq0RlwXiwzs4F8p_hTNXA__thumb/img/7_gVbnDHi0u1rkgCE52ZzjvLkHU=/fit-in/200x150/filters:strip_icc()/pic1723707.jpg,2,2,True,2013
22,130752,Agricola: All Creatures Big and Small – More Buildings Big and Small,https://cf.geekdo-images.com/UrPn-kE9bnfXe40SO4h7qQ__original/img/3WCrbx67KOnvmX51ZWe-goejt80=/0x0/filters:format(jpeg)/pic1451726.jpg,https://cf.geekdo-images.com/UrPn-kE9bnfXe40SO4h7qQ__thumb/img/ZxjYEIC7cyLTYYvTo4F2rAFJ06o=/fit-in/200x150/filters:strip_icc()/pic1451726.jpg,2,2,True,2012
23,43018,Agricola: Farmers of the Moor,https://cf.geekdo-images.com/mEI-4uV5AkzQ3H-8aKsl4Q__original/img/U9XlX-1e3v5YyM_T-bsA1k_5kOU=/0x0/filters:format(jpeg)/pic568164.jpg,https://cf.geekdo-images.com/mEI-4uV5AkzQ3H-8aKsl4Q__thumb/img/WJ89SC0HhICH5EFXWtcdecxc6_A=/fit-in/200x150/filters:strip_icc()/pic568164.jpg,1,5,True,2009
24,103183,Agricola: World Championship Deck – 2011,https://cf.geekdo-images.com/J4yVTt1J-kpx4nDHwPl7ug__original/img/YXuYMXJqVd5BIUlVlgruadTjXRE=/0x0/filters:format(jpeg)/pic1216379.jpg,https://cf.geekdo-images.com/J4yVTt1J-kpx4nDHwPl7ug__thumb/img/8HLmEeTeOMQFVXVMWp0ZFowynGg=/fit-in/200x150/filters:strip_icc()/pic1216379.jpg,1,5,True,2011
25,158973,Albion's Legacy,https://cf.geekdo-images.com/sQ6PEvNsNT95aIpnHJDhJA__original/img/CwVkXma27JNmok959M6dUFcimqQ=/0x0/filters:format(png)/pic5489361.png,https://cf.geekdo-images.com/sQ6PEvNsNT95aIpnHJDhJA__thumb/img/hKildGjQBBW1WZ0Wg1cKChogI0E=/fit-in/200x150/filters:strip_icc()/pic5489361.png,1,4,False,2015
26,161970,Alchemists,https://cf.geekdo-images.com/ztNshEv3Fsm46HCJaEOFPw__original/img/SP4ItZ27dLweUPbz_bF7C-P7GtA=/0x0/filters:format(png)/pic2241156.png,https://cf.geekdo-images.com/ztNshEv3Fsm46HCJaEOFPw__thumb/img/-a0oJ_E49V_7PDW78W7KIyS3rF8=/fit-in/200x150/filters:strip_icc()/pic2241156.png,2,4,False,2014
27,40760,Alea Iacta Est,https://cf.geekdo-images.com/smrPassEeydTEwglmv6QHg__original/img/L5zYazrf9b7vDqM9F9IEamg3rho=/0x0/filters:format(jpeg)/pic1218804.jpg,https://cf.geekdo-images.com/smrPassEeydTEwglmv6QHg__thumb/img/EI85pzM23Hnk0uhAf_DpnfydIUU=/fit-in/200x150/filters:strip_icc()/pic1218804.jpg,2,5,False,2009
28,6249,Alhambra,https://cf.geekdo-images.com/OiqKsYDh7pqeRYKG__kMSw__original/img/Oe2ZTGE2hUnyZQIEoIjM_zwYfcY=/0x0/filters:format(jpeg)/pic4893652.jpg,https://cf.geekdo-images.com/OiqKsYDh7pqeRYKG__kMSw__thumb/img/Pj2FP8bV-BHofcDS0eGLh8gzTmI=/fit-in/200x150/filters:strip_icc()/pic4893652.jpg,2,6,False,2003
29,9687,Alhambra: The Vizier's Favor,https://cf.geekdo-images.com/EJY83JZj2yHCa5C9jo1rlw__original/img/WJNmCbDyc_ozT6rBnTpESqlgjyA=/0x0/filters:format(jpeg)/pic105723.jpg,https://cf.geekdo-images.com/EJY83JZj2yHCa5C9jo1rlw__thumb/img/i8qJ3GulVZoTgZ7ClY7bnIenoBg=/fit-in/200x150/filters:strip_icc()/pic105723.jpg,2,6,True,2004
30,48726,Alien Frontiers,https://cf.geekdo-images.com/UWZTWLXFfg_6HpXJmviL3g__original/img/1EiMWmB4iGMDRbaXuvZQtlszM_Q=/0x0/filters:format(png)/pic3360924.png,https://cf.geekdo-images.com/UWZTWLXFfg_6HpXJmviL3g__thumb/img/KBuRMq00g4PlosEQSUUTDLzsYN8=/fit-in/200x150/filters:strip_icc()/pic3360924.png,2,4,False,2010
31,93193,Alien Frontiers: Factions,https://cf.geekdo-images.com/0BKN-idv5W9BQrpplpcDfw__original/img/nPtMCdDBTRkc7zFFPmq2X1VBSls=/0x0/filters:format(png)/pic3360935.png,https://cf.geekdo-images.com/0BKN-idv5W9BQrpplpcDfw__thumb/img/6IJcusguwrAxj4TuhIUB7-nB3yo=/fit-in/200x150/filters:strip_icc()/pic3360935.png,2,5,True,2012
32,110277,Among the Stars,https://cf.geekdo-images.com/xM5-XAyoh7NwuVoguwgEsQ__original/img/JJ3gcJBHOc0-ca-Hq73wYvZRZxk=/0x0/filters:format(jpeg)/pic2037906.jpg,https://cf.geekdo-images.com/xM5-XAyoh7NwuVoguwgEsQ__thumb/img/0Qo56PUZiko4GpS2hZ5R8q-z5VA=/fit-in/200x150/filters:strip_icc()/pic2037906.jpg,2,4,False,2012
33,139630,Among the Stars: The Ambassadors,https://cf.geekdo-images.com/Fl5dD7WGqBl-9PB0znQNfQ__original/img/iNPTSfyEq7VrnbIE6NjZKoI_t5k=/0x0/filters:format(jpeg)/pic1801598.jpg,https://cf.geekdo-images.com/Fl5dD7WGqBl-9PB0znQNfQ__thumb/img/bNdYkKTLRuELi1FFZY0X-v-XnZ8=/fit-in/200x150/filters:strip_icc()/pic1801598.jpg,2,4,True,2013
34,147253,The Ancient World,https://cf.geekdo-images.com/-trgBZRA5P4kk86FQuuI-A__original/img/u6MQJUERFyUq8Bhs8f-PKY-f0Gs=/0x0/filters:format(jpeg)/pic1951629.jpg,https://cf.geekdo-images.com/-trgBZRA5P4kk86FQuuI-A__thumb/img/OMIhsFac59AYy7QyiDbsVgFxQHs=/fit-in/200x150/filters:strip_icc()/pic1951629.jpg,2,4,False,2014
35,124742,Android: Netrunner,https://cf.geekdo-images.com/2ewHIIG_TRq8bYlqk0jIMw__original/img/cassW39WF2QrPImJF59efADAmM0=/0x0/filters:format(jpeg)/pic3738560.jpg,https://cf.geekdo-images.com/2ewHIIG_TRq8bYlqk0jIMw__thumb/img/IJaOyyQ7Y59tW6nbKbjTMTFt-Ls=/fit-in/200x150/filters:strip_icc()/pic3738560.jpg,2,2,False,2012
36,139596,Android: Netrunner – Creation and Control,https://cf.geekdo-images.com/PU8uTHpNaawqeuk3HuAHlw__original/img/R6VXO1pemsvGXuBH0L_mgAGzkqg=/0x0/filters:format(jpeg)/pic1639594.jpg,https://cf.geekdo-images.com/PU8uTHpNaawqeuk3HuAHlw__thumb/img/rOxv9Q7Wid1VHsXu3HflSHrRKSY=/fit-in/200x150/filters:strip_icc()/pic1639594.jpg,2,2,True,2013
37,152314,Android: Netrunner – Honor and Profit,https://cf.geekdo-images.com/pixgKoGa3YQ6WjcG_MhrPg__original/img/FO9QnBwWMcOgfMaZmDHurMwj0xI=/0x0/filters:format(jpeg)/pic1878471.jpg,https://cf.geekdo-images.com/pixgKoGa3YQ6WjcG_MhrPg__thumb/img/CXd2prfURM0Xo_31UJZoB2dSu28=/fit-in/200x150/filters:strip_icc()/pic1878471.jpg,2,2,True,2014
38,159508,AquaSphere,https://cf.geekdo-images.com/K7Hq_KDgr8jJHMtW21XcfQ__original/img/PckhyT2sfyT93TPkIRyKrvPpPMs=/0x0/filters:format(jpeg)/pic2197124.jpg,https://cf.geekdo-images.com/K7Hq_KDgr8jJHMtW21XcfQ__thumb/img/ZddcJnCbwkBUoilb5x-Bj-k7tio=/fit-in/200x150/filters:strip_icc()/pic2197124.jpg,2,4,False,2014
39,41933,Arctic Scavengers,https://cf.geekdo-images.com/XByHh6nI7S3pv6wn2lCodQ__original/img/Zds_zOEy5-15VjLJOA9HXRrHPI0=/0x0/filters:format(jpeg)/pic1114682.jpg,https://cf.geekdo-images.com/XByHh6nI7S3pv6wn2lCodQ__thumb/img/I9WBUq63yO2wvRSox9h8v463bbs=/fit-in/200x150/filters:strip_icc()/pic1114682.jpg,2,5,False,2009
40,42950,Arctic Scavengers: HQ,https://cf.geekdo-images.com/_hlYVCqMh0QxsBTbpBJ2Cg__original/img/HYF3PWJ4ZtDL-mJ8VjM7zv64cJ4=/0x0/filters:format(jpeg)/pic533559.jpg,https://cf.geekdo-images.com/_hlYVCqMh0QxsBTbpBJ2Cg__thumb/img/Na0t59R_K46dGqxG-jcw54gh2nY=/fit-in/200x150/filters:strip_icc()/pic533559.jpg,2,5,True,2011
41,42951,Arctic Scavengers: Recon,https://cf.geekdo-images.com/oFEyJ-lv6XyPE-_-Vwy_Zw__original/img/8J9CO6waCXTBKlLCbK3nUZP0PBw=/0x0/filters:format(jpeg)/pic2431658.jpg,https://cf.geekdo-images.com/oFEyJ-lv6XyPE-_-Vwy_Zw__thumb/img/RqZFb6qHFT4VCP0Kw8Xnrn5szpI=/fit-in/200x150/filters:strip_icc()/pic2431658.jpg,1,5,True,2015
42,69789,Ascension,https://cf.geekdo-images.com/DP20jf4R3RcsjJUwwV1vCw__original/img/O_DcqcBQGcWqO0HhJVojg5-VMoc=/0x0/filters:format(jpeg)/pic2382123.jpg,https://cf.geekdo-images.com/DP20jf4R3RcsjJUwwV1vCw__thumb/img/SWczusxnG6IavIPNQXwvorFfqwo=/fit-in/200x150/filters:strip_icc()/pic2382123.jpg,1,4,False,2010
43,145633,Ascension: Apprentice Edition,https://cf.geekdo-images.com/L3lyqnxZ_iwnxBnSK96T5g__original/img/ZsdA52ppCCM2mgigGIbisLWSLHI=/0x0/filters:format(jpeg)/pic1733803.jpg,https://cf.geekdo-images.com/L3lyqnxZ_iwnxBnSK96T5g__thumb/img/P04wcLMQXAyuqDe5C4CLDkJ5fPs=/fit-in/200x150/filters:strip_icc()/pic1733803.jpg,2,2,False,2013
44,185123,Ascension: Dreamscape,https://cf.geekdo-images.com/xoRWMi5Si2lGd4TMOnM7wQ__original/img/w0lKY_OacvBlMMge5t184gsMVok=/0x0/filters:format(jpeg)/pic3180363.jpg,https://cf.geekdo-images.com/xoRWMi5Si2lGd4TMOnM7wQ__thumb/img/rmIOxLfOM5hhhirxrp7fPMH0_8o=/fit-in/200x150/filters:strip_icc()/pic3180363.jpg,1,4,False,2015
45,157026,Ascension: Realms Unraveled,https://cf.geekdo-images.com/R6bPVkFxqQEJ3m8tkTWMzQ__original/img/1-k7oFtC_MrjOITAbrO2nuy_CMI=/0x0/filters:format(png)/pic2054959.png,https://cf.geekdo-images.com/R6bPVkFxqQEJ3m8tkTWMzQ__thumb/img/n8dZHUqcmPL1dW51DLIFLoKvBps=/fit-in/200x150/filters:strip_icc()/pic2054959.png,1,4,False,2014
46,95064,Ascension: Return of the Fallen,https://cf.geekdo-images.com/GOkRsGeaSQ1F3Eck8f35CA__original/img/FPblYk3IbC3m-Zl0cNaDBef-B3s=/0x0/filters:format(jpeg)/pic947575.jpg,https://cf.geekdo-images.com/GOkRsGeaSQ1F3Eck8f35CA__thumb/img/BQqzqFxjB2zsmIMpVq8zhewwdjs=/fit-in/200x150/filters:strip_icc()/pic947575.jpg,1,2,False,2011
